model,MAE,RMSE,MASE,Bias,n_points
xgboost_tuned,174.0231485820952,309.87126240105505,0.5624488764919748,1.9443131401425315,336
chronos_bolt_zeroshot,201.97584352039155,379.4213215245606,0.6301059652623507,-69.05697922479538,336
sarimax,227.44471984819103,375.2825062250448,0.7095614616373681,18.784287120347926,336
seasonal_naive_weekly,259.2857142857143,483.5459302555101,0.8088961156498077,-58.51190476190476,336
mean,296.4370143792114,436.13589308353255,0.9247973808612628,-12.25400586774993,336
seasonal_naive_daily,525.2380952380952,780.2048723618321,1.6385902948792246,390.4761904761905,336
naive,1507.321428571429,1555.327059465231,4.702405035950432,1492.9761904761904,336
drift,1602.9118692854722,1650.7134502045767,5.000619445486466,1593.4028752035863,336
